"EventId","StartTime","EndTime","EventType","Source","State"
"11113","2007-01-09T15:43:00Z","2007-01-09T15:58:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"11115","2007-01-17T14:07:00Z","2007-01-17T14:22:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"11032","2007-01-20T14:13:00Z","2007-01-20T14:30:00Z","Waterspout","Public","ATLANTIC SOUTH"
"11033","2007-01-20T16:27:00Z","2007-01-20T16:37:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"11118","2007-01-21T16:15:00Z","2007-01-21T16:30:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"11127","2007-01-21T17:20:00Z","2007-01-21T17:35:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"11034","2007-01-25T11:22:00Z","2007-01-25T11:40:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"11035","2007-01-30T12:19:00Z","2007-01-30T12:25:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"18274","2007-02-11T15:37:00Z","2007-02-11T15:52:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"18273","2007-02-24T15:08:00Z","2007-02-24T15:23:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"23666","2007-03-05T18:25:00Z","2007-03-05T18:40:00Z","Waterspout","Emergency Manager","ATLANTIC SOUTH"
"20628","2007-03-10T09:12:00Z","2007-03-10T09:20:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"30628","2007-04-06T16:00:00Z","2007-04-06T16:15:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"30630","2007-04-06T17:02:00Z","2007-04-06T17:17:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"30638","2007-04-13T16:15:00Z","2007-04-13T16:30:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"30641","2007-04-14T18:18:00Z","2007-04-14T18:33:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"37605","2007-04-15T09:11:00Z","2007-04-15T09:20:00Z","Waterspout","Trained Spotter","ATLANTIC SOUTH"
"27956","2007-04-24T13:26:00Z","2007-04-24T13:35:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"35435","2007-05-04T19:06:00Z","2007-05-04T19:21:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"35436","2007-05-05T15:15:00Z","2007-05-05T15:30:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"35437","2007-05-11T17:16:00Z","2007-05-11T17:31:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"34551","2007-05-14T17:37:00Z","2007-05-14T17:45:00Z","Waterspout","Other Federal","ATLANTIC SOUTH"
"35439","2007-05-27T15:30:00Z","2007-05-27T15:45:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"35440","2007-05-27T17:00:00Z","2007-05-27T17:15:00Z","Waterspout","Emergency Manager","ATLANTIC SOUTH"
"35442","2007-05-30T15:44:00Z","2007-05-30T15:59:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"38784","2007-06-06T13:16:00Z","2007-06-06T13:31:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"41995","2007-06-12T09:30:00Z","2007-06-12T09:30:00Z","Waterspout","COOP Observer","ATLANTIC SOUTH"
"40632","2007-06-13T15:06:00Z","2007-06-13T15:11:00Z","Waterspout","Trained Spotter","ATLANTIC SOUTH"
"42387","2007-06-13T16:00:00Z","2007-06-13T16:05:00Z","Waterspout","Emergency Manager","ATLANTIC SOUTH"
"37050","2007-06-18T08:05:00Z","2007-06-18T08:15:00Z","Waterspout","Public","ATLANTIC SOUTH"
"37058","2007-06-18T08:15:00Z","2007-06-18T08:20:00Z","Waterspout","Public","ATLANTIC SOUTH"
"42340","2007-06-27T13:36:00Z","2007-06-27T14:00:00Z","Waterspout","Emergency Manager","ATLANTIC SOUTH"
"38785","2007-06-29T17:35:00Z","2007-06-29T17:50:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"38786","2007-06-29T18:58:00Z","2007-06-29T19:13:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"49995","2007-07-01T12:10:00Z","2007-07-01T12:25:00Z","Waterspout","Law Enforcement","ATLANTIC SOUTH"
"50310","2007-07-01T14:15:00Z","2007-07-01T14:30:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"50296","2007-07-05T06:10:00Z","2007-07-05T06:45:00Z","Waterspout","Broadcast Media","ATLANTIC SOUTH"
"41459","2007-07-05T18:40:00Z","2007-07-05T18:55:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"41513","2007-07-07T18:50:00Z","2007-07-07T19:05:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"50314","2007-07-09T16:45:00Z","2007-07-09T17:00:00Z","Waterspout","Emergency Manager","ATLANTIC SOUTH"
"41531","2007-07-10T06:04:00Z","2007-07-10T06:19:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"51904","2007-07-14T12:26:00Z","2007-07-14T12:26:00Z","Waterspout","Broadcast Media","ATLANTIC SOUTH"
"44019","2007-07-14T13:00:00Z","2007-07-14T13:00:00Z","Waterspout","Other Federal","ATLANTIC SOUTH"
"47727","2007-07-14T17:13:00Z","2007-07-14T17:13:00Z","Waterspout","Public","ATLANTIC SOUTH"
"41840","2007-07-15T07:00:00Z","2007-07-15T07:15:00Z","Waterspout","Public","ATLANTIC SOUTH"
"50317","2007-07-19T09:16:00Z","2007-07-19T09:48:00Z","Waterspout","ASOS","ATLANTIC SOUTH"
"45410","2007-07-22T11:40:00Z","2007-07-22T11:54:00Z","Waterspout","Emergency Manager","ATLANTIC SOUTH"
"52232","2007-07-23T07:30:00Z","2007-07-23T07:30:00Z","Waterspout","Coast Guard","ATLANTIC SOUTH"
"50371","2007-07-23T08:40:00Z","2007-07-23T08:50:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"45411","2007-07-24T07:25:00Z","2007-07-24T07:50:00Z","Waterspout","Other Federal","ATLANTIC SOUTH"
"50374","2007-07-24T18:15:00Z","2007-07-24T18:20:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
"51627","2007-07-25T06:45:00Z","2007-07-25T06:45:00Z","Waterspout","Mariner","ATLANTIC SOUTH"
"42239","2007-07-25T17:31:00Z","2007-07-25T17:46:00Z","Waterspout","Airplane Pilot","ATLANTIC SOUTH"
